Šifra modela,Veličina,Šifra boje,MPC,Ime branda,Šifra branda,Vodič za veličinu,Spol,Oblik,Tip,Boja prednjeg dijela,Materijal prednjeg dijela,Širina leće,Visina leće,Materijal ručkice,Dužina ručkice,Fleksibilni,Veličina mosta,Naziv,Privremeno ime,Slika,Naziv final
0VO4123D,53,352,101,VOGUE,VO,S,Muškarci,Phantos,Puni okvir,Crna,Metal,51,46,Metal,145,,21,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4123D__352,Dioptrijski okvir VOGUE S Crna
0VO4123D-1,53,352,101,VOGUE,VO,S,Muškarci,Phantos,Puni okvir,Crna,Metal,51,46,Metal,145,,21,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4123D__352,Dioptrijski okvir VOGUE S Crna
0VO4124D,52,352,101,VOGUE,VO,S,Muškarci,Phantos,Puni okvir,"Bakrena Antička,Srebrna Antička",Metal,51,46,Metal,145,,21,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4124D__352,"Dioptrijski okvir VOGUE S Bakrena Antička,Srebrna Antička"
0VO4124D-1,52,352,101,VOGUE,VO,S,Muškarci,Phantos,Puni okvir,Bakrena Antička,Metal,51,46,Metal,145,,21,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4124D__352,Dioptrijski okvir VOGUE S Bakrena Antička
0VO4124D-2,52,5089,101,VOGUE,VO,S,Muškarci,Phantos,Puni okvir,Srebrna Antička,Metal,51,46,Metal,145,,21,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4124D__5089,Dioptrijski okvir VOGUE S Srebrna Antička
0VO4177,52,5155,80,VOGUE,VO,L,Žene,Leptirasti,Puni okvir,"Fronta Havana/Blijeda Zlatna,Fronta Crna/Srebrna",Metal,55,48,Metal,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4177__5155,"Dioptrijski okvir VOGUE L Fronta Havana/Blijeda Zlatna,Fronta Crna/Srebrna"
0VO4177-1,52,5155,80,VOGUE,VO,L,Žene,Leptirasti,Puni okvir,Fronta Havana/Blijeda Zlatna,Metal,55,48,Metal,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4177__5155,Dioptrijski okvir VOGUE L Fronta Havana/Blijeda Zlatna
0VO4177-2,52,848,80,VOGUE,VO,L,Žene,Leptirasti,Puni okvir,Fronta Crna/Srebrna,Metal,55,48,Metal,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4177__848,Dioptrijski okvir VOGUE L Fronta Crna/Srebrna
0VO4199S,58,51988G,80,VOGUE,VO,L,Žene,Nepravilan,Puni okvir,Fronta Havana/Blijeda Zlatna,Metal,56,51,Metal,145,,16,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4199S__51988G,Dioptrijski okvir VOGUE L Fronta Havana/Blijeda Zlatna
0VO4199S-1,58,51988G,80,VOGUE,VO,L,Žene,Nepravilan,Puni okvir,Fronta Havana/Blijeda Zlatna,Metal,56,51,Metal,145,,16,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4199S__51988G,Dioptrijski okvir VOGUE L Fronta Havana/Blijeda Zlatna
0VO4201D,55,5078,80,VOGUE,VO,"L,S",Žene,Nepravilan,Puni okvir,"Blijedozlatna,Fronta Crna/Srebrna",Metal,56,51,Metal,145,,16,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4201D__5078,"Dioptrijski okvir VOGUE L,S Blijedozlatna,Fronta Crna/Srebrna"
0VO4201D-1,55,5078,80,VOGUE,VO,L,Žene,Nepravilan,Puni okvir,Blijedozlatna,Metal,56,51,Metal,145,,16,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4201D__5078,Dioptrijski okvir VOGUE L Blijedozlatna
0VO4201D-2,55,323,101,VOGUE,VO,S,Žene,Zaobljeni četvrtasti,Puni okvir,Fronta Crna/Srebrna,Metal,51,43,Metal,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4201D__323,Dioptrijski okvir VOGUE S Fronta Crna/Srebrna
0VO4206S,53,323/19,101,VOGUE,VO,M,Žene,Zaobljeni četvrtasti,Puni okvir,Fronta Bordo/Roze Zlatna,Metal,53,43,Metal,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4206S__323/19,Dioptrijski okvir VOGUE M Fronta Bordo/Roze Zlatna
0VO4206S-1,53,323/19,101,VOGUE,VO,M,Žene,Zaobljeni četvrtasti,Puni okvir,Fronta Bordo/Roze Zlatna,Metal,53,43,Metal,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4206S__323/19,Dioptrijski okvir VOGUE M Fronta Bordo/Roze Zlatna
0VO4208,50,5141,101,VOGUE,VO,M,Žene,Ovalni,Puni okvir,Fronta Crna/Blijeda Zlatna,Metal,53,41,Metal,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4208__5141,Dioptrijski okvir VOGUE M Fronta Crna/Blijeda Zlatna
0VO4208-1,50,5141,101,VOGUE,VO,M,Žene,Ovalni,Puni okvir,Fronta Crna/Blijeda Zlatna,Metal,53,41,Metal,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4208__5141,Dioptrijski okvir VOGUE M Fronta Crna/Blijeda Zlatna
0VO4215SD,58,280/13,84,VOGUE,VO,"S,XS",Žene,Nepravilan,Puni okvir,"Fronta Crna/Zlatna,Fronta Bijela/Zlatna",Metal,53,45,Metal,135,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4215SD__280/13,"Dioptrijski okvir VOGUE S,XS Fronta Crna/Zlatna,Fronta Bijela/Zlatna"
