Naziv proizvoda,BREND,,OBLIK OKVIRA,U KOJIM BOJAMA JE DOSTUPAN,U KOJIM VELIČINAMA,MATERIJAL OKVIRA,CIJENA S UKLJUČENIM PDV-om,ŠIRINA LEĆE,VISINA LEĆE,ŠIRINA MOSTA,RUČKICE,ŠIRINA FRONTE,ŠIFRA,Kategorija,AtributSet,Slika,Naziv final,slug
DIOPTRIJSKI OKVIR,ESCADA,,Nepravilan,CRNA 0700,M,Acetat,175,55,50,16,140,137,VESE78-1,Uncategorized,SvePotrebno,VESE78,DIOPTRIJSKI OKVIR CRNA 0700 M,dioptrijski-okvir-crna-0700-m-9
DIOPTRIJSKI OKVIR,ESCADA,,Nepravilan,BORDO 0AR3,M,Acetat,175,55,50,16,140,138,VESE78-2,Uncategorized,SvePotrebno,VESE78,DIOPTRIJSKI OKVIR BORDO 0AR3 M,dioptrijski-okvir-bordo-0ar3-m
DIOPTRIJSKI OKVIR,ESCADA,,Nepravilan,"CRNA 0700,STRIPED BROWN/PINK 0VBL","M,S",Acetat,175,54,43,16,135,137,VESE73,Uncategorized,SvePotrebno,VESE73,"DIOPTRIJSKI OKVIR CRNA 0700,STRIPED BROWN/PINK 0VBL M,S",dioptrijski-okvir-crna-0700striped-brown-pink-0vbl-ms
DIOPTRIJSKI OKVIR,ESCADA,,Nepravilan,CRNA 0700,M,Acetat,175,54,43,16,135,137,VESE73-1,Uncategorized,SvePotrebno,VESE73,DIOPTRIJSKI OKVIR CRNA 0700 M,dioptrijski-okvir-crna-0700-m-10
DIOPTRIJSKI OKVIR,ESCADA,,Nepravilan,STRIPED BROWN/PINK 0VBL,S,Acetat,175,54,44,16,135,135,VESE73-2,Uncategorized,SvePotrebno,VESE73,DIOPTRIJSKI OKVIR STRIPED BROWN/PINK 0VBL S,dioptrijski-okvir-striped-brown-pink-0vbl-s
DIOPTRIJSKI OKVIR,ESCADA,,Nepravilan,TRANSP.LJUBIČASTA 0916,M,Acetat,190,54,48,18,140,140,VESE06,Uncategorized,SvePotrebno,VESE06,DIOPTRIJSKI OKVIR TRANSP.LJUBIČASTA 0916 M,dioptrijski-okvir-transpljubicasta-0916-m
DIOPTRIJSKI OKVIR,ESCADA,,Nepravilan,TRANSP.LJUBIČASTA 0916,M,Acetat,190,54,48,18,140,140,VESE06-1,Uncategorized,SvePotrebno,VESE06,DIOPTRIJSKI OKVIR TRANSP.LJUBIČASTA 0916 M,dioptrijski-okvir-transpljubicasta-0916-m-1
DIOPTRIJSKI OKVIR,NINA RICCI,,Cat Eye,HAVANA GRAD.HAVANA 0APE,M,Acetat,185,54,48,17,140,138,VNR415,Uncategorized,SvePotrebno,VNR415,DIOPTRIJSKI OKVIR HAVANA GRAD.HAVANA 0APE M,dioptrijski-okvir-havana-gradhavana-0ape-m
DIOPTRIJSKI OKVIR,NINA RICCI,,Cat Eye,HAVANA GRAD.HAVANA 0APE,M,Acetat,185,54,48,17,140,138,VNR415-1,Uncategorized,SvePotrebno,VNR415,DIOPTRIJSKI OKVIR HAVANA GRAD.HAVANA 0APE M,dioptrijski-okvir-havana-gradhavana-0ape-m-1
DIOPTRIJSKI OKVIR,NINA RICCI,,Nepravilan,SHINY DARK HAVANA 0722,M,Acetat,195,53,48,17,140,135,VNR350,Uncategorized,SvePotrebno,VNR350,DIOPTRIJSKI OKVIR SHINY DARK HAVANA 0722 M,dioptrijski-okvir-shiny-dark-havana-0722-m
DIOPTRIJSKI OKVIR,NINA RICCI,,Nepravilan,SHINY DARK HAVANA 0722,M,Acetat,195,53,48,17,140,135,VNR350-1,Uncategorized,SvePotrebno,VNR350,DIOPTRIJSKI OKVIR SHINY DARK HAVANA 0722 M,dioptrijski-okvir-shiny-dark-havana-0722-m-1
DIOPTRIJSKI OKVIR,NINA RICCI,,Nepravilan,SHINY BORDO 08LA,M,Acetat,175,53,49,17,135,137,VNR372,Uncategorized,SvePotrebno,VNR372,DIOPTRIJSKI OKVIR SHINY BORDO 08LA M,dioptrijski-okvir-shiny-bordo-08la-m
