Naziv proizvoda,BREND,SPOL,OBLIK OKVIRA,U KOJIM BOJAMA JE DOSTUPAN,U KOJIM VELIČINAMA,MATERIJAL OKVIRA,CIJENA S UKLJUČENIM PDV-om,ŠIRINA LEĆE,VISINA LEĆE,ŠIRINA MOSTA,RUČKICE,ŠIRINA FRONTE,ŠIFRA,Kategorija,AtributSet,Slika,Naziv final,slug
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,SMEĐE/PLAVO108,M,Plastika,92,53,36,16,140,134.8,F0213-1,Uncategorized,SvePotrebno,F0213,Dioptrijski okvir+clip on SMEĐE/PLAVO108 M,dioptrijski-okvirclip-on-smede-plavo108-m-1
Dioptrijski okvir+clip on,CENTROSTYLE,Dječje,Okrugao,PLAVA180,M,Plastika,90,46,39,18,135,126.7,F0078,Uncategorized,SvePotrebno,F0078,Dioptrijski okvir+clip on PLAVA180 M,dioptrijski-okvirclip-on-plava180-m
Dioptrijski okvir+clip on,CENTROSTYLE,Dječje,Okrugao,PLAVA180,M,Plastika,90,46,39,18,135,126.7,F0078-1,Uncategorized,SvePotrebno,F0078,Dioptrijski okvir+clip on PLAVA180 M,dioptrijski-okvirclip-on-plava180-m-1
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,CRNA 002,L,Metal,119,57,39.6,18,150,147.5,F0374,Uncategorized,SvePotrebno,F0374,Dioptrijski okvir+clip on CRNA 002 L,dioptrijski-okvirclip-on-crna-002-l-1
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,CRNA 002,L,Metal,119,57,39.6,18,150,147.5,F0374-1,Uncategorized,SvePotrebno,F0374,Dioptrijski okvir+clip on CRNA 002 L,dioptrijski-okvirclip-on-crna-002-l-2
Dioptrijski okvir,CENTROSTYLE,Ženske,Šesterokutan,"SREBRNA 017,ZLATNA 018",M,Metal,70,53,45.5,15,145,139.5,F0177,Uncategorized,SvePotrebno,F0177,"Dioptrijski okvir SREBRNA 017,ZLATNA 018 M",dioptrijski-okvir-srebrna-017zlatna-018-m
Dioptrijski okvir,CENTROSTYLE,Ženske,Šesterokutan,SREBRNA 017,M,Metal,70,53,45.5,15,145,139.5,F0177-1,Uncategorized,SvePotrebno,F0177,Dioptrijski okvir SREBRNA 017 M,dioptrijski-okvir-srebrna-017-m
Dioptrijski okvir,CENTROSTYLE,Ženske,Šesterokutan,ZLATNA 018,M,Metal,70,53,45.5,15,145,139.5,F0177-2,Uncategorized,SvePotrebno,F0177,Dioptrijski okvir ZLATNA 018 M,dioptrijski-okvir-zlatna-018-m
Dioptrijski okvir,CENTROSTYLE,Ženske,Cat Eye,ZLATNA 018,M,Metal,70,53,45.3,17,145,140.7,F0173,Uncategorized,SvePotrebno,F0173,Dioptrijski okvir ZLATNA 018 M,dioptrijski-okvir-zlatna-018-m-1
Dioptrijski okvir,CENTROSTYLE,Ženske,Cat Eye,ZLATNA 018,M,Metal,70,53,45.3,17,145,140.7,F0173-1,Uncategorized,SvePotrebno,F0173,Dioptrijski okvir ZLATNA 018 M,dioptrijski-okvir-zlatna-018-m-2
