Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Vodič za veličinu;Šifra modela;Veličina;Šifra boje;Ime branda;MPC;Spol;Oblik;Tip;Opis naziva modela;Boja prednjeg dijela;Materijal prednjeg dijela;Širina leće;Visina leće;Materijal ručkice;Dužina ručkice;Veličina mosta;Ime proizvoda;Kategorija
0RX6275-M-Crna-2503;0rx6275-m-crna-2503;2503;0RX6275__2503;Default;Eyewear;Crna;crna;M;0RX6275;54;2503;RAY-BAN VISTA;155;Unisex;Četvrtasti;Puni okvir;;Crna;Metal;54;34;Metal;145;17;RAY-BAN VISTA;Dioptrijste naočale
0RX6285;0rx6285;;0RX6285__2502,0RX6285__2503;Default;Eyewear;Gunmetal;;M;0RX6285;53;2502;RAY-BAN VISTA;160;Unisex;Četvrtasti;Poluotvoreni okvir;;Gunmetal;Metal;53;33;Aluminij;140;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6285-M-Gunmetal-2502;0rx6285-m-gunmetal-2502;2502;0RX6285__2502;Default;Eyewear;Gunmetal;siva;M;0RX6285;53;2502;RAY-BAN VISTA;160;Unisex;Četvrtasti;Poluotvoreni okvir;;Gunmetal;Metal;53;33;Aluminij;140;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6285-M-Crna-2503;0rx6285-m-crna-2503;2503;0RX6285__2503;Default;Eyewear;Crna;crna;M;0RX6285;53;2503;RAY-BAN VISTA;160;Unisex;Četvrtasti;Poluotvoreni okvir;;Crna;Metal;53;33;Aluminij;140;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6335;0rx6335;;0RX6335__2503,0RX6335__2855;Default;Eyewear;Crna;;L;0RX6335;58;2503;RAY-BAN VISTA;150;Unisex;Četvrtasti;Poluotvoreni okvir;;Crna;Metal;58;39;Injektirani;150;17;RAY-BAN VISTA;Dioptrijste naočale
0RX6335-L-Crna-2503;0rx6335-l-crna-2503;2503;0RX6335__2503;Default;Eyewear;Crna;crna;L;0RX6335;58;2503;RAY-BAN VISTA;150;Unisex;Četvrtasti;Poluotvoreni okvir;;Crna;Metal;58;39;Injektirani;150;17;RAY-BAN VISTA;Dioptrijste naočale
0RX6335-L-Gunmetal-2855;0rx6335-l-gunmetal-2855;2855;0RX6335__2855;Default;Eyewear;Gunmetal;siva;L;0RX6335;56;2855;RAY-BAN VISTA;150;Unisex;Četvrtasti;Poluotvoreni okvir;;Gunmetal;Metal;56;37;Injektirani;145;17;RAY-BAN VISTA;Dioptrijste naočale
0RX6355;0rx6355;;0RX6355__2620,0RX6355__3098;Default;Eyewear;Gunmetal;;M;0RX6355;52;2620;RAY-BAN VISTA;165;Unisex;Phantos;Puni okvir;;Gunmetal;Metal;52;45;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX6355-M-Gunmetal-2620;0rx6355-m-gunmetal-2620;2620;0RX6355__2620;Default;Eyewear;Gunmetal;siva;M;0RX6355;52;2620;RAY-BAN VISTA;165;Unisex;Phantos;Puni okvir;;Gunmetal;Metal;52;45;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX6355-S-Crna-3098;0rx6355-s-crna-3098;3098;0RX6355__3098;Default;Eyewear;Crna;crna;S;0RX6355;50;3098;RAY-BAN VISTA;165;Unisex;Phantos;Puni okvir;;Crna;Metal;50;44;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX6363;0rx6363;;0RX6363__2553,0RX6363__2861;Default;Eyewear;Gunmetal;;L;0RX6363;54;2553;RAY-BAN VISTA;146;Unisex;Kvadratni;Puni okvir;;Gunmetal;Metal;54;40;Injektirani;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6363-L-Gunmetal-2553;0rx6363-l-gunmetal-2553;2553;0RX6363__2553;Default;Eyewear;Gunmetal;siva;L;0RX6363;54;2553;RAY-BAN VISTA;146;Unisex;Kvadratni;Puni okvir;;Gunmetal;Metal;54;40;Injektirani;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6363-L-Crna-na-Srebrna-2861;0rx6363-l-crna-na-srebrna-2861;2861;0RX6363__2861;Default;Eyewear;Crna na Srebrna;crna;L;0RX6363;54;2861;RAY-BAN VISTA;146;Unisex;Kvadratni;Puni okvir;;Crna na Srebrna;Metal;54;40;Injektirani;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6421;0rx6421;;0RX6421__2997;Default;Eyewear;Crna na Srebrna;;L;0RX6421;54;2997;RAY-BAN VISTA;146;Unisex;Kvadratni;Poluotvoreni okvir;;Crna na Srebrna;Metal;54;41;Metal;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6421-L-Crna-na-Srebrna-2997;0rx6421-l-crna-na-srebrna-2997;2997;0RX6421__2997;Default;Eyewear;Crna na Srebrna;crna;L;0RX6421;54;2997;RAY-BAN VISTA;146;Unisex;Kvadratni;Poluotvoreni okvir;;Crna na Srebrna;Metal;54;41;Metal;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6421-XL-Crna-na-Srebrna-2997;0rx6421-xl-crna-na-srebrna-2997;2997;0RX6421__2997;Default;Eyewear;Crna na Srebrna;crna;XL;0RX6421;56;2997;RAY-BAN VISTA;146;Unisex;Kvadratni;Poluotvoreni okvir;;Crna na Srebrna;Metal;56;43;Metal;150;18;RAY-BAN VISTA;Dioptrijste naočale
0RX6448;0rx6448;;0RX6448__2500,0RX6448__2501,0RX6448__3175,0RX6448__3176;Default;Eyewear;Arista zlatna;;L;0RX6448;54;2500;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;HEXAGONAL;Arista zlatna;Metal;54;47;Metal;145;21;RAY-BAN VISTA;Dioptrijste naočale
0RX6448-L-Arista-zlatna-2500;0rx6448-l-arista-zlatna-2500;2500;0RX6448__2500;Default;Eyewear;Arista zlatna;zlatna;L;0RX6448;54;2500;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;HEXAGONAL;Arista zlatna;Metal;54;47;Metal;145;21;RAY-BAN VISTA;Dioptrijste naočale
