Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Šifra modela;Veličina;Šifra boje;Boja prednjeg dijela;MPC;Ime branda;Šifra branda;Vodič za veličinu;Spol;Oblik;Tip;Materijal prednjeg dijela;Širina leće;Visina leće;Materijal ručkice;Dužina ručkice;Fleksibilni;Veličina mosta;Naziv proizvoda;širina fronte
VO4311B;vo4311b;;VO4311B__5152,VO4311B__548;Default;Eyewear;Ružičasta;;VO4311B;53;5152;Ružičasta;119;VOGUE;VO;S;Žene;Zaobljeni četvrtasti;Puni okvir;Metal;53;46;Metal;140;;18;VOGUE;135
VO4311B-S-Ruzicasta-5152;vo4311b-s-ruzicasta-5152;5152;VO4311B__5152;Default;Eyewear;Ružičasta;roza;VO4311B;53;5152;Ružičasta;119;VOGUE;VO;S;Žene;Zaobljeni četvrtasti;Puni okvir;Metal;53;46;Metal;140;;18;VOGUE;135
VO4311B-M-SREBRNA-548;vo4311b-m-srebrna-548;548;VO4311B__548;Default;Eyewear;SREBRNA;srebrna;VO4311B;51;548;SREBRNA;119;VOGUE;VO;M;Žene;Ovalni;Puni okvir;Metal;51;45;Metal;140;;18;VOGUE;135
VO4273;vo4273;;VO4273__5152,VO4273__323;Default;Eyewear;Ružičasta;;VO4273;53;5152;Ružičasta;84;VOGUE;VO;S;Žene;Mačkasti;Puni okvir;Metal;53;42;Metal;135;;17;VOGUE;133
VO4273-S-Ruzicasta-5152;vo4273-s-ruzicasta-5152;5152;VO4273__5152;Default;Eyewear;Ružičasta;roza;VO4273;53;5152;Ružičasta;84;VOGUE;VO;S;Žene;Mačkasti;Puni okvir;Metal;53;42;Metal;135;;17;VOGUE;133
VO4273-S-CRNA-SREBRNA-323;vo4273-s-crna-srebrna-323;323;VO4273__323;Default;Eyewear;CRNA/SREBRNA;crna;VO4273;53;323;CRNA/SREBRNA;84;VOGUE;VO;S;Žene;Mačkasti;Puni okvir;Metal;53;42;Metal;135;;17;VOGUE;133
VO4285;vo4285;;VO4285__5152,VO4285__28,VO4285__352,VO4285__323;Default;Eyewear;Ružičasta, Zlatna;;VO4285;55;5152,28;Ružičasta, Zlatna;92;VOGUE;VO;M;Žene;Mačkasti;Puni okvir;Metal;55;43;Metal;135;;17;VOGUE;138
VO4285-M-Ruzicasta-5152;vo4285-m-ruzicasta-5152;5152;VO4285__5152;Default;Eyewear;Ružičasta;roza;VO4285;55;5152,28;Ružičasta, Zlatna;92;VOGUE;VO;M;Žene;Mačkasti;Puni okvir;Metal;55;43;Metal;135;;17;VOGUE;138
VO4285-M-Zlatna-28;vo4285-m-zlatna-28;28;VO4285__28;Default;Eyewear;Zlatna;zlatna;VO4285;55;5152,28;Ružičasta, Zlatna;92;VOGUE;VO;M;Žene;Mačkasti;Puni okvir;Metal;55;43;Metal;135;;17;VOGUE;138
VO4285-M-Crna-352;vo4285-m-crna-352;352;VO4285__352;Default;Eyewear;Crna;crna;VO4285;55;352,323;Crna, SREBRNA;92;VOGUE;VO;M;Žene;Mačkasti;Puni okvir;Metal;55;43;Metal;135;;17;VOGUE;137
